Building Type,2024 EUI,2024 GUI,Chilled Water System Efficiency (kW/RT),Air-side Efficiency (kW/RT)
Retail,198.4726534,0,0.9,0.2
Office,198.0899183,0,0.55,0.15
Mixed development,196.7195622,0,0.62,0
Office,195.2321341,0,0.988,0.313
Office,194.7678448,0,0.85,0
Office,194.3876158,0,0.7,0
Civic, community & cultural inst.,192.446502,0,0,0
Office,191.8079249,0,0,0
Clinic,190.8096429,0,0.7,0
Office,189.5137209,0,0,0
Sports & Recreation,189.3015067,0,0,0
Civic, community & cultural inst.,188.8167175,0,0,1.44
Mixed development,188.7046769,0,0,0
Office,188.6027066,0,0,0
Office,188.1542671,0,0.638,0
Office,187.8082199,0,0,0
Office,187.2754687,0,0,0
Sports & Recreation,186.867517,0,0,0
Clinic,186.8193237,0,0,0
Mixed development,186.7101814,0,0.65,0
Civic, community & cultural inst.,185.8574598,0,0,0
Hotel,185.6700868,0,0,0
Mixed development,185.117834,0,0.7,0.2
Office,183.523309,0,1.07,0.41
Office,182.8564074,0,0.58,0.18
Office,182.3163783,0,0.44,0.16
Office,182.1313091,0,0,0
Hotel,182.0603577,0,0,0
Office,181.4271014,0,0.53,0.182
Office,181.2696756,0,0,0
Office,181.2635575,0,0,0
Office,181.1458194,0,0.75,0
Mixed development,179.8230445,0,0,0
Mixed development,179.7806662,0,0.72,0.43
Office,179.1341991,0,0.821,0.526
Mixed development,178.9461179,0,0,0
Office,178.3675222,0,0,0.837
Mixed development,177.3251032,0,0.659,0.539
Office,177.1344143,0,0,0
Office,175.737939,0,0.65,0.25
Civic, community & cultural inst.,174.8456191,0,0.43,1.41
Sports & Recreation,174.6422309,0,0,0
Mixed development,174.6367369,0,0.56,0.17
Mixed development,174.5574821,0,0.64,0
Mixed development,173.0149707,0,0,0
Civic, community & cultural inst.,170.5588905,0,0,1.56
Office,169.9909578,0,0.63,0
Office,169.8901495,0,0,0
Mixed development,169.7437817,0,0.66,0
Office,168.4189736,0,0.85,0.9
Office,168.0745008,0,0.653,0
Office,167.7385013,0,0,0.458
Office,167.2048523,0,0.25,0
Civic, community & cultural inst.,167.0835564,0,0.62,0
Office,166.261657,0,0,0
Office,166.2557802,0,0.69,0.33
Sports & Recreation,165.9530761,0,0,0
Office,164.4377452,0,0.3277,0
Office,164.3907787,0,0.52,0.17
Sports & Recreation,163.8343712,0,1.406,0.148
Office,163.7268218,0,0,0
Clinic,163.220885,0,0,0
Office,162.7958666,0,1.13,0
Office,162.3119105,0,0.6,0.6
Office,161.5394453,0,0.571,0.259
Office,161.4932104,0,0.633,0.273
Office,160.785006,0,0.85,0.18
Office,160.3186184,0,0,0
Office,160.0076011,0,0.544,0.345
Office,159.5586328,0,0.22,0.18
Mixed development,159.4949657,0,0,0
Hospital,159.2789796,0,0.57,0.06
Office,159.2407689,0,0.625,0.2
Office,159.0851889,0,0,0
Office,159.067899,0,0,0
Mixed development,158.6096907,0,0.6,0.6
Office,157.9248961,0,0.55,0
Mixed development,156.2269885,0,0.7,0.7
Office,155.4093196,0,0.7,0.3
Sports & Recreation,155.0359194,0,0,0
Civic, community & cultural inst.,154.5830619,0,0,0
Office,152.1351859,0,0.79,0.226
Office,151.8917287,0,0.82,0.3
Clinic,151.6920038,0,0,0
Office,150.9650021,0,0,0.915
Office,150.4583394,0,0.55,0.2
Mixed development,150.2096097,0,0.6,0.2
Mixed development,149.5888779,0,0.65,0
Sports & Recreation,148.3341739,0,0,0
Office,148.2899936,0,0,1
Office,148.0231189,0,0,0
Office,147.9942243,0,0.809,0.337
Office,147.830316,0,0.63,0
Clinic,146.4613376,0,0,0
Office,145.790406,0,0,0
Office,145.6307409,0,0,0
Retail,144.8626486,0,0.65,0.52
Mixed development,144.4110384,0,0,0
Office,144.1057584,0,0,0
Office,144.0991724,0,0.626,0
Mixed development,143.8358601,0,0.599,0
Civic, community & cultural inst.,143.3519914,0,0,0
Mixed development,143.2102569,0,0.5,0
Office,143.1783986,0,0.9,1.2
Office,142.6338264,0,0,0
Office,142.4576747,0,0.672,0.942
Office,142.3096849,0,0.386,0.214
Office,142.2281318,0,0.6,0
Inst. of higher learning (IHL),142.0068561,0,0,0
Clinic,141.9385273,0,0,0
Office,141.5165283,0,0.77,0
Office,141.0897228,0,0.74,0.74
Office,140.045819,0,1.33,1.33
Inst. of higher learning (IHL),139.3669121,0,1.5,0.64
Office,138.0898196,0,0.544,0.345
Mixed development,137.7016551,0,0,0
Office,137.6036564,0,0,0.19
Office,136.3495853,0,0.7,0.444
Office,135.8591223,0,0.601,0.242
Mixed development,135.8040093,0,0,0
Mixed development,135.7836011,0,0,0
Retail,135.6012638,0,0.25,0.75
Mixed development,135.5987388,0,0,0
Office,135.3026874,0,0.696,0.01
Office,135.2350961,0,0.617,0.238
Office,135.2189551,0,0.58,0.1
Sports & Recreation,134.8971987,0,0,0
Office,134.541217,0,0.882,0.95
Office,134.5285943,0,0.61,0.196
Office,134.3973486,0,0.65,0.25
Office,133.6710959,0,0,0
Clinic,133.6461982,0,0,0
Sports & Recreation,133.1800872,0,0,0
Office,132.4482782,0,0,0
Office,132.444364,0,0.6248,0
Sports & Recreation,132.0251416,0,0,0
Office,131.7614527,0,0.912,0.414
Office,131.5975329,0,0,0
Office,130.9388711,0,0.56,0.19
Sports & Recreation,130.7320748,0,0,0
Office,130.616483,0,0.632,0.291
Inst. of higher learning (IHL),130.3201864,0,0.65,0
Office,129.9813942,0,0.612,0.35
Office,128.9144005,0,0,0
Office,128.7043551,0,0.563,0.12
Office,128.5098223,0,0.38,0
Office,128.2523883,0,0.605,0.381
Office,128.2395075,0,0.64,0
Sports & Recreation,128.0754278,0,0,0
Inst. of higher learning (IHL),127.2631988,0,0.632,0
Office,127.1317868,0,1.76,0
Office,126.0031775,0,0.585,0.369
Office,125.7311915,0,0.658,0
Clinic,125.5856877,0,0.615,0.9
Office,125.5124804,0,0,0
Civic, community & cultural inst.,125.5060528,0,0.72,0
Inst. of higher learning (IHL),125.1929829,0,0.65,0
Office,125.0800133,0,0.65,0
Mixed development,124.6158295,0,0,0
Clinic,124.6026141,0,0,0
Office,124.5971593,0,0,1.41
Hotel,124.5205675,0,0,0
Office,123.3436975,0,0.882,0.416
Retail,123.298094,0,0.7,0.024
Office,123.1101464,0,0.622,0.257
Inst. of higher learning (IHL),122.2179781,0,0.569,0.25
Office,122.1403195,0,0,0
Office,122.0071114,0,0,0
Office,120.5534106,0,0.636,0.252
Office,120.4956586,0,0.603,0
Nursing home,120.3066379,0,0.571,0
Sports & Recreation,119.5550997,0,0,0
Office,118.6692991,0,0.61,0.13
Office,117.716466,0,0,0
Office,117.7059911,0,0,0
Office,116.8572872,0,0,0
Mixed development,116.3328781,0,0.625,0.269
Nursing home,116.3048184,0,0,0
Office,113.888711,0,0.591,0.078
Office,113.586377,0,0.974,0
Mixed development,113.4874793,0,0,0
Office,112.5641506,0,0,0
Office,111.2172039,0,0.7,0
Inst. of higher learning (IHL),110.6899174,0,0.5961,1.55
Office,110.2745063,0,0.64,0.2
Office,110.1977902,0,0,1.21
Office,109.864253,0,0.676,0
Civic, community & cultural inst.,109.4944015,0,0,0
Mixed development,107.7394764,0,0.2,0.2
Civic, community & cultural inst.,107.6319066,0,0.55,0.382
Inst. of higher learning (IHL),107.297439,0,0,0
Mixed development,106.9964914,0,0,0.23
Office,106.4737955,0,0.595,0
Mixed development,106.0814973,0,0.572,0.333
Office,105.8887287,0,1.1,1.1
Sports & Recreation,105.5591236,0,0,0
Office,105.3465272,0,0,0
Office,104.293838,0,0.62,0.2
Office,104.1560074,0,0.65,0
Office,104.1277636,0,0,0
Office,103.7806411,0,0,0
Office,103.7355795,0,0.7,1
Mixed development,102.5477172,0,0.6,0.858
Mixed development,102.298164,0,0,0
Retail,101.0814156,0,0.558,0
Office,100.0241287,0,0,0
Nursing home,99.4583598,0,0,0
Mixed development,98.81715582,0,0.56,0.126
Mixed development,98.80006481,0,0.75,0.25
Office,98.23132171,0,0.721,0.103
Office,97.18048654,0,0,0
Civic, community & cultural inst.,96.53607727,0,0,0
Office,96.22562814,0,0.5,0.05
Office,94.63221694,0,0.591,0.11
Hotel,94.40011926,0,0.58,0.2
Office,94.02481898,0,0.726,0
Civic, community & cultural inst.,93.48193299,0,0.69,0.3
Office,92.22954318,0,0,0
Office,92.20450233,0,0,0
Sports & Recreation,91.64230371,0,0.262,0
Office,91.45140736,0,0,0
Inst. of higher learning (IHL),91.4013173,0,0,0
Sports & Recreation,91.31387045,0,0.6743,0.1781
Office,91.08503554,0,0,0
Office,91.00224377,0,0,0
Retail,90.83668415,0,0.631,0
Office,90.68348914,0,0,0
Office,90.6420415,0,0,0
Office,89.50718289,0,0.552,0
Sports & Recreation,89.46043629,0,0,0
Inst. of higher learning (IHL),89.32077804,0,0.58,0.168
Inst. of higher learning (IHL),88.82920299,0,0.65,0
Inst. of higher learning (IHL),88.63938416,0,0,0
Sports & Recreation,86.3965616,0,0,0
Mixed development,86.26192107,0,0.612,0
Mixed development,86.10586927,0,0,0
Office,85.9633844,0,0,0
Civic, community & cultural inst.,84.42134,0,0,0
Office,84.22353368,0,0.66,0.22
Retail,83.77243256,0,0,0
Office,83.22324869,0,0.9,0
Office,81.83386256,0,0,0.91
Office,81.78753679,0,0,0
Office,80.63409947,0,0,0
Mixed development,80.30880645,0,0.78,0
Civic, community & cultural inst.,79.78118857,0,0,0
Office,79.5082749,0,0.6,0.6
Civic, community & cultural inst.,78.63969532,0,0,0.32
Civic, community & cultural inst.,77.234441,0,0,0
Civic, community & cultural inst.,77.02207488,0,0,0
Civic, community & cultural inst.,76.31875959,0,0,0
Office,75.12729056,0,0.18,0
Mixed development,74.15247567,0,0,0.95
Inst. of higher learning (IHL),73.79956518,0,0.6,0
Office,73.6751969,0,0.6,0.6
Civic, community & cultural inst.,72.63692632,0,0,0
Office,72.3804938,0,0,0
Office,71.15994344,0,0.6615,0.2
Civic, community & cultural inst.,70.6957275,0,0,0
Mixed development,70.42337965,0,0,0
Office,70.16865665,0,0,0
Mixed development,69.99357102,0,0.691,0.19
Office,69.11913773,0,0.672,0.494
Office,67.06634162,0,0,0
Inst. of higher learning (IHL),66.45826305,0,0,0
Office,65.92693862,0,0,0
Mixed development,65.33003236,0,0,0
Office,65.14644175,0,0.56,0.13
Sports & Recreation,64.2249617,0,0,0
Office,63.46542022,0,1.418,0
Mixed development,63.17813384,0,0.65,0.19
Inst. of higher learning (IHL),63.07938151,0,0.614,0.192
Office,62.78551349,0,0.484,0.359
Nursing home,59.96222015,0,0,0
Office,58.61745705,0,0,0
Office,57.96747967,0,0,0
Office,57.78608547,0,0.257,0
Civic, community & cultural inst.,57.49005237,0,0,0
Civic, community & cultural inst.,55.74553231,0,0,0
Office,55.38955607,0,0,0
Civic, community & cultural inst.,54.95177034,0,0,0
Retail,54.34893485,0,0.75,0
Office,54.244875,0,0.55,0
Inst. of higher learning (IHL),54.15535196,0,0,0
Inst. of higher learning (IHL),53.29761081,0,0,0
Civic, community & cultural inst.,51.79547525,0,0,0
Retail,50.81730968,0,0.593,0.155
Civic, community & cultural inst.,48.99143673,0,0,0
Inst. of higher learning (IHL),48.32387741,0,0,0
Office,47.61043779,0,0.8,1
Civic, community & cultural inst.,47.07642016,0,0,0
Mixed development,46.68688309,0,0,0
Civic, community & cultural inst.,43.61440307,0,0,1.11
Office,43.31040515,0,1,1
Civic, community & cultural inst.,43.19590035,0,0,0
Civic, community & cultural inst.,43.10750927,0,0,0
Office,40.03791781,0,0,0
Office,39.01182036,0,0,0
Civic, community & cultural inst.,38.68970624,0,0,0
Office,38.23678584,0,0.67,0.498
Office,37.71341333,0,0,0
Office,36.66933,0,0,0
Sports & Recreation,35.21767238,0,0,0
Mixed development,34.87536224,0,0,0
Office,34.58977849,0,0,0
Mixed development,33.55881718,0,0.591,0.262
Sports & Recreation,32.56090108,0,0,0
Sports & Recreation,31.23069356,0,0,0
Office,30.42378382,0,0,0
Sports & Recreation,28.4856705,0,0,0
Office,27.68552817,0,0,0
Civic, community & cultural inst.,25.90744472,0,0,0
Retail,22.40593885,0,0.2042,0
Retail,19.55535561,0,0,0
Sports & Recreation,18.31288565,0,0,0
Retail,13.94123485,0,0,0
Retail,13.21659074,0,0.656,0
Hospital,314.5745106,0,0.72,0.9
Civic, community & cultural inst.,63.15851117,0,0,0
Office,137.9566206,0,0.699,0.315
